ctprvn_nm,signgu_nm,signgu_cd,residnt_2030_cnt,ibllbr_fclt_cnt,museum_fclt_cnt,artgr_fclt_cnt,prfplc_fclt_cnt,fclt_cnt,ibllbr_rate,museum_rate,artgr_rate,prfplc_rate,fclt_rate,FILE_NAME,BASE_YMD
충청남도,청양군,44790,4683,2,1,0,1,4,4.27076E-4,2.13538E-4,0.0,2.13538E-4,8.54153E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청남도,홍성군,44800,20138,3,3,1,1,8,1.48972E-4,1.48972E-4,4.9657E-5,4.9657E-5,3.97258E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청남도,예산군,44810,12996,4,5,1,2,12,3.07787E-4,3.84733E-4,7.6946E-5,1.53893E-4,9.23361E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청남도,태안군,44825,10189,3,4,0,1,8,2.94435E-4,3.9258E-4,0.0,9.8145E-5,7.8516E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,청주시 상당구,43111,47367,4,4,2,0,10,8.4446E-5,8.4446E-5,4.2223E-5,0.0,2.11117E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,청주시 서원구,43112,51335,3,1,2,2,8,5.8439E-5,1.9479E-5,3.8959E-5,3.8959E-5,1.55839E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,청주시 흥덕구,43113,82125,6,4,1,0,11,7.3059E-5,4.8706E-5,1.2176E-5,0.0,1.33942E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,청주시 청원구,43114,57463,5,2,4,0,11,8.7012E-5,3.4805E-5,6.961E-5,0.0,1.91427E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,충주시,43130,47775,6,6,2,1,15,1.25588E-4,1.25588E-4,4.1862E-5,2.0931E-5,3.13971E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,제천시,43150,27814,6,6,0,1,13,2.15718E-4,2.15718E-4,0.0,3.5953E-5,4.6739E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,보은군,43720,4598,1,2,0,1,4,2.17485E-4,4.34971E-4,0.0,2.17485E-4,8.69943E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,옥천군,43730,8288,2,2,0,1,5,2.41312E-4,2.41312E-4,0.0,1.20656E-4,6.03281E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,영동군,43740,7762,2,4,0,1,7,2.57665E-4,5.15331E-4,0.0,1.28832E-4,9.01829E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,증평군,43745,9309,2,1,0,1,4,2.14845E-4,1.07422E-4,0.0,1.07422E-4,4.29691E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,진천군,43750,20747,4,1,1,1,7,1.92798E-4,4.8199E-5,4.8199E-5,4.8199E-5,3.37398E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,괴산군,43760,5388,1,3,0,1,5,1.85597E-4,5.56792E-4,0.0,1.85597E-4,9.27988E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,음성군,43770,19246,4,6,0,1,11,2.07835E-4,3.11753E-4,0.0,5.1958E-5,5.71547E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
충청북도,단양군,43800,4296,3,2,0,1,6,6.98324E-4,4.65549E-4,0.0,2.32774E-4,0.001396648,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
